Video  No,Video Title,Video Link,Video Slot,Transcription,Timestamps,Information,Quotations,Speaker Name,,Video Length,Priority,Topic,Video Start Link,Video End Link,Generic Info,Citation,Video Quality
13,Year-round crop production without irrigation,https://youtu.be/B9gjgKTn8Co?si=GOdpxnV69gk9Xd-Y,slot two ,"if we saw on the natural system fourty lac years ago when there was no one in world but this system is comming and if we saw on the amazon forest  there is no one there who is giving water to the plants  but  the amzon is green. If we fallow the natural system then if we growing the orange then there are many disease are come on it and we use fertilizers and other things but fourty lac year ago there was no one who is give the fertilizer to the orange. Like this if we fallow the natural system then we can get a batter result and with menimum expenditure.There are three steps  in the natural system to give the water to the plants first is rain and second is dew and third is humidity. Places where rainfall is low there will be a lot of dew and the places there will be dew low there will be  a lot of the hmidity so  this a  natural system. There are several supporting mechanisms that ensure an edequate water supply to plants in nutral  ecosystems. These mechaisms work togater to capture, store , and distribute water to plants. Organic mulch plays an imporant role in obsorbing water from rain, dew, and  humidity in the air, storing it, and retaining it in the soil for plants to grow throughout the year.  Water shortage is imminent at this time when we distrub the land",Start 00:00 End 16 : 45,,,,,,,,,,,,
14,Why Plants Require Water : Punjabi Voice Note of 2 minutes --- Year: Not Known; Location: Pakistan .wav,https://drive.google.com/file/d/1Si6lLP1NHD30FIQYRv-yeHZ5HJCqyZcz/view?usp=sharing,slot two ,Water is very important for the plants. As in our body the blood is very important wiht out blood we cannot live. So like the plants cannot live with out water we don't  know that how many water is required to the plants. Micros are giving water to the plants in the everage form. ,Start 00:00 End 02:06,,,,,,,,,,,,
15,"Compost making, uses voice & farmer comments",https://youtu.be/C1381wa2Xr4?si=USYcUsWu9o42_-SG,Slot two ,"Compose is not a fertilizer, feed or mixture of plant nutrients. It is just an inoculum, may be used once to trigger the life in soil. 1/2 ton in an acre is more than sufficient. Conditions in soil will develop & sistan  soil biology that will provide minerals that a plant needs to produce opimally. To make an ideal compost,use plant residuce and animal dung. It should be put on the hardstanding in long swaths, like in picture. keep it moist and turm it frequently to cool temperature inside. It is matured, when all the material looks same / similar ",Start 00:00 End 10:00,,,,,,,,,,,,
16,Fertilizer application How we shoulduse the fertilizer Lecture of Asif Shreef Sahab,https://youtu.be/Uwnlri_oz7Y?si=hGicKP_0SHlRINBh,Slot two ,Basal at the time of seedbed preparation or seeding.. Broadcasting after germination. Side dressing with a machine..But  when mix the fertilizer with the flood irrigation water this is one of the best way to give the water to the fertilizers to the crops or plants because on this way there is little chance to waste the  fertilizer. In the other methods the fertilizers are waste. If we are giving fertilizers 30 kg then the 20 kg fertilizer will waste. We have to give the fertilizer to the crops or plant  when the fertilzers will need. The plants leaf or crops  tells what thing is required now them. we have  spray the crops or plants early in morning or evening time so that the fertilizer stays on top of the leaves minimum half hour so that the leaf will absorption.  The spray nozzle should be such tthat it neither prduces larg drops it should be produce small drops because when big drops do not stay on the leaf they down  and  they wasted and small drops do not waste and they stay a  on the leaf few hours and the insects harmfull insects died. ,Started 00:00 End 09:30,,,,,,,,,,,,
17,The Four Fundamental Principles of Natural Soil Fertility and Vegetation,https://youtu.be/r2PNPn6q1U4?si=pZoE9tCyNQIZLCm4,Slot two ,"The four fundamenal principles of naural soil fertility and vegetationare: Aviod waterlogging of the soil. his can lead to the death of microbes and teh loss of nurtrients: do not distrub the soil Tillae can damage  the soil structure and release  carbon dioxide into the atmosphere: Cover teh soil with orgainc mulch Mulch can protect the soil from crosion, retain moiaruew, and moderate soil tempeture, which is nexessat to maintain organic mater in the soil and provide a good environment for microbes to fundtion.: promoto biodeverisy. A diverse range of plant and animal species helps to maintain healthy soil ecosystem.:",Started 00:00 End 03:00,,,,,,,,,,,,
18,Revival of soil life by following PQNK - the natural process,https://youtu.be/tUtUZTknQGY?si=oUcyQfKRlo5yKKGQ,Slot two ,If we fallow the PQNK system then there are many insects those are more helpful for the crop. In the PANK only we have to grow the seed and we have harvest the crop. The insects are those those growth the crops but when we  plough the  land these insects died when we used the fertilizers. So we have to increase these insects and first we did't plough the land and we have to cover the land for this the land will cool and the insects will increase so this one of the best way to produce more more crop with out any cost. ,Start 00:00 End 10:00,,,,,,,,,,,,
19,PQNK and Conventional comparison of Wheat,https://youtu.be/Cgav5LjmcOM?si=fT9mxBnH0XwOf1AU,Slot two ,Grow the Whate with the PQNK  system beacuse if we grow the wheate with PQNK then can get profit without any cost and we did't not plough land in this system.,Start 00:00 End 01:03,,,,,,,,,,,,
20,A comparison of conventional and PQNK sugarcane,https://www.youtube.com/watch?v=zB_JET7O-o0,Slot two ,If we compare the crops those are growing with out PQNK by poughing the land and by using the fertilizers those are no good and the crops which are growing with the PQNK system those are good and their colour is good and they have more nutration  these crops are good for our health. As shown in the vedio ,Start 00:00 End 02:20,,,,,,,,,,,,
21,Experiences In Initial Phase: Case Study 1,https://docs.google.com/document/d/1N-9S7fgxEyGM-srCW43Hsly6iWdxhab_k92n_-kGEhQ/edit?usp=drivesdk,,"In the start we will face some difficulties because our insects are died and when we plough the land with the tractprs and when we use the  fertilizers beacuse there is poison in the fertilizers  and when the insects eat they deid. So in the first year we will face some difficulties we faced the main problem of improving the soil. A person after fallowing the PQNK syatem he faced three difficulties.He faced the manin problem of improving the soil. The soil was was saline. He used 100 bags of gypsum per acre and one ton poultry waste per acre to cure  the salinity problem. He also faced the problem of pests in the starting weeks. But after 2 weeks they were authomtically eradicated due to the nematodes that were a result of PQNK. He was grown many crops like Gourds, garlic, wheat, Okra and many more ",,,,,,,,,,,,,
22,Experiences In Initial Phase: Case Study 2,https://docs.google.com/document/d/1-2ZhUIQX24r5RzV-BcYg7WWhaPKKx8oMeQFXet9AvIk/edit?usp=drivesdk,,"A man lived in chakwal ch.ammer he started grow the crops with the PQNK system. The problmes which he faced in first year is that: The main problem that he faced was rasing awareness among the people around him. Another problem was arranging the tools and ,achinery. He got them from distant areas especially chisel plough and bed shapper. He said that he started expecting earlier. But the land takes some time to recover. For that he grew cover crops. He was grow many vegetables like onion, redish and cualiflowers etc. ",,,,,,,,,,,,,
23,uava on PQNK,https://youtu.be/38MUC6h--Uo?si=B0vKNFtWdC6cql6w,Start 00:00 End 02:30,"A man said that he grow the Guave before with out PQNK  but it result was not good and he was grow the Guave one year but his result was not good and the water seemed too much. So he shift the all the system on the agricuture system now his land is cool and Indeed, the earth is dry on top, bt there is plenty of moistture in the lower part of the earth. ",,,,,,,,,,,,,
24,Mr. Ashish Mehta share his success story of producing wheat crop using PQNK process.,https://youtu.be/SYRLPVb9Npo?si=1wEahcTGC8kpcAE6,Start  00:00 End 03:00,Mr. Ashish share his success story wheat crop using PQNK process he said that the PQNK system is one of the best system beacuse   it save a lot of money it save a lot of time and it save 80% water. The thing is required to the crop is that moisture.  If we grow the crops in the land and corner of the land is higer then the land and we give the water in the form  of the Flood then the insects those are growth the crops those die and for this we cannot get the good result.,,,,,,,,,,,,,
25,A Success Story: How a Young Educated Farmer Thrived in Wheat Cultivation,https://youtu.be/NhIABayx5SM?si=RggIlJgEneac_QQ0,Start 00:00 End 08: 25,There are many peopls those are success when the fallow the fallow PQNK. It also save our time and it save our water and it save our money and it is more profitable then other crops because when we grow other crops then their expenditure is high like when we buy seeds and when we plough the land and and other fertilizers expenditure so  these crops are not more profitable and these crops have not nutration more than  the PQNK crops.,,,,,,,,,,,,,
26,"PQNK A Comprehensive Solution for Agriculture, Health, and Climate",https://youtu.be/kM_6QBw8C-k?si=luJ08uyD3dGQf-Ue,Slot two,"Agricultural Benefits: Addresses water scarcity and axcess water challenges. lowers production costs: no thillage, no agrochemicals, reduced water requirements, Improves produce quality wih the highest nutrition density. Extends shelf life. Improves produce quality with the highest nutrition denity. Ectends shelf life. Enhances food security and sovereignty. Eases operation. Lowes risk. Extends production period. Creates jobs and retains youth in rural areas. Provides skills develment for respectful living . Alleviates farmer poverty. Health Benefits: Prevents Illesses. Mitigates Malnutrition and famine. Environmental Benefits: Replenishes aquifers . Reverses soil and ocean degradation . Reduces atmospheric water levels. Enhances carbon sequestration..",Start 00:00 End 01:10,,,,,,,,,,,,
27,Steps to PA:PQNK,https://youtu.be/naklRXVA7cE?si=X1L5vcLKDvno76UD,Slot two,If our land is not  be able to crop and there is lot of trees bushes and other useless spices those are in the land then fiest of all if we want to do start the PQNK system then we have to make a proper fields and level them then and we chenk that water is standing in the land and we have to make the beds system First we make one bed and we have to check by following the water in the fields if the water is standing drains  then we make all the beds in the beds system the  land should be level by this way  the water can stay in the drains. The thing which is required to our fields  is that humidity. If the humidity is in our fields than  our crops will grow batter. ,Start 00:00 End 9:20,,,,,,,,,,,,
28,Steps to PA:PQNK,https://www.youtube.com/watch?v=XHwdjn6cG4k,Slot two,Steps survey farm desining: Bulk shifting Laser leveling - Making waterways- levelling furrows for making longest fields with minimum soil disturbance: Deep plowing to break the hardpan: Water wash to leach down selts to lower PH : Making perment Raised bed: Planting cover crop for regeneration of soil : Roller-Crimping cover crop or slash vegetation/ residue: Plant cash rop with No-Till planter and tree combinations: Harvestin and replanting without disburbing beds/soil,Start 00:00 End 09:20,,,,,,,,,,,,
29,Four easy steps to convert from conventional to PQNK,https://www.youtube.com/watch?v=nxSe_V9MP4c&t=2s,Slot two,There are four steps to change the land in to the PQNK system: The first step is thatPQNK  is that: prepare the field for the type of irragation: Breaking the hardpean: Make perment raised beds: Plant crop after crop on parmenent beds. And after harvesting the crop we do not distrub the land and beds and we do not plough the land. We use the machine for covering  the land.If we fallow these steps then we can  produce a very good crops no input in this steps no need ot fertilizers no need of seeds. We can make seed by our self.  And  we can grow all the crops on beds like rice and peanut  and other crops. In this system we can save 80% water. ,start  00:00 End 07: 00,,,,,,,,,,,,
30,Soil Tests: A Tool to Drive Fertilizer Demand,https://youtu.be/Jl43hQVAccM?si=u6GSlj6VVIs3L15Q,Slot two,"Soil tests were introduced to boost fertilizer demand after disrupting nutural soil ecosystem and ecosystems and fertility principles.; Offered free of cost, soil tests highlight deficiencies cuased by industrial farming practies; What is soil test? a process measuring "" plant-avaliable"" elements (nitrogen phosphorus, poassium, calcium, magnesium, sodiu, sulfur. manganese, copper, zinx, ets) and pH levels. Based on the results,fertilizer rexommendiations are made, driving demand. Soil tests are a marketing tool for the fertilizer industry, convincing farmers of deficiencies while ignoring abundant, naturally occurring menerals. Microbes nutrually convert these minerals into plant-avaliable forms, maintaining a balanced ecosystem without chemical fertilizers.",Start 00:00 End 01:09,,,,,,,,,,,,
,Soil is the real wealth of a nation.,https://youtu.be/5Z_nIIwWKtU?si=1MDQCGyb7dUACtxq,Slot two,"Soil is real the wealth of a Nation; The most meaningful indicator for the health of the land, and the long-term wealth of a nation, is whether soil is being formed or is lost. If soil is being lost,so too is the economic and ecological foundation and which production and converation ar based; Soil Health Determines: Plant health. Animal health. Human health. Ecosystem health. And even the health of the ecosystem:TOP SOIL: Conventional Agriculture leads us to lose around 6 kg of soil per every 1 kg of produce. It takes 1000 years to form 3 cm (1.2"") of topsoil. Topsoil, which has supported life since time immemorial, was never plowed and hence protected. Our aim in Agriculture (CA) is safeguarding soil, the foundation of the ecosystem, and improving farmers' income. What Should be in Soil? Water&vapoits 25%- overall; Air 25%- overall; Organic matter5%- we have about 0.5%; Sand (largest) 40%-dry soil; Silt (finer)25%- dry soil; Clay(finest) 25%- ery soil: When the sand, silt, clay, and humas are each present in mentioned quantities, it is a good loam. Why do we plough soil? Seed requires 2 things for germination. Moisture that it gets from Soil. for this seed to soil contact must be firm. Warmth that it gets from Sun: for this we plant seed when temperature is favourable. We plow soil to improve seed to soil contact for better germination. And eradication of weeds. There is no other reason. How Seed Germinates? Seed composition.Embryo-live and second thing is that preservative-oil which protect the embryo and third thing is that  Food packet which protect the seed for a long if any time rain is come on it then it started grew and it can save the seed for a long time thousands years. When we plough the land then our land is disturbe and for this the insects that are growing the crop die. So we increase the insects.   And we can grow a batter crops with out any cost. A Unique Seed Environment; Creaes unique horizontal seed slot (most others are vertical). Self covers the sloths. Traps soil humidity in the slot in form of oiquied and vapour. Conserves 50-100mm (2-4"") soil moisture per year. Guarantees soil-to seed xontact. No slot-shrinkage problems.There are three types of land the best  land is that which can obsorb the land  and keep cool the land. And which have humidity. We can check land before growing the crop. First we took some soil, put it in a glass jar, and added water to it. if the water moves above the top layer of the glass  or top layer of the glass or is on top of the soil, then our soil is very good.if the water if the water goes to teh bottom of the glass, then there our clay is not good then it can called sand because sand particles are big than clay particles. But their solution is avaliable if we mix the sand and clay then it can more helpful for crops. And the water for plant is like blood to us- they are food carries. they dissolves food & takes it to each body cell, we have heart pupm blood, plants use Osmosis process! Plant roots prefer going to water rather than water coming to the roots Plant suffocates if water stands in the roots.",Start 00:00 End 46:00 ,,,,,,,,,,,,
,Breaking the hard pan correctly is an important step for PQNK,https://www.youtube.com/watch?v=iLfdE52aNws,Slot two,When we use the thillage plough then it is not good because it distrube the land  and it also spoil the level of the land. In the PANK system  we can use the plough which have which have only one plough  it is also used to breake up the structure of the earth's crust and when we use   before using this plough if  we fill water in the tyers then it is more batter.,Start 00:00 End 03:00,,,,,,,,,,,,
,Natural Methods for Hardpan Breakdown When Subsoiler Usage is Limited by Field Conditions,https://youtu.be/CdxeExsh60o?si=zY0J4kHdJg82MvnH,Slot two,"In certain scenarios, the proximity of orchard plants obsructs the passage of tractors through the rows. When faced with such challenges, manual intervention becomes imperative. To adress this issue, carefully hand-dug intervention becomes imperative. To address this issue, carefully hand-dug furrows can e established eitherbetween or just beyond the plant rows. These furrows serve as contolled conduits for precise water application, preventing inundation of the beds. Simultanously, encouraging the growth of weeds across the beds is advisable, over a span of three to sic months, the intricacies of nature's mechanisma come to the forefront. During this period, the commpacted soil layer, commonly referred to as hardpan, unergoes a transfomative process. This process is facilitated by a variety of factors, including the complex root systems of weeds and the active engagement of mycorrhizal fungi, alongside other vital life forms such as carthworms. Collectively, these biological agents play a pivotal role in disintegrating the hardended layer, thereby enhancing its receptivity to wate absorption. As a result of this natural progression, both the overall structure and  health of the soil experience signficant improvement. By embracing these methodologies, the chalenge posed by compacted  hardpan can be effectively mitiged. These practices harmonize with the environment's inherent processes, exemplifying a sustainable approach to soil enhancement, efficient water absorption,and the replenishment of aquifers. ",Start 00:00 End 04:00 ,,,,,,,,,,,,
,No till precision planting of Sesame on PQNK,https://www.youtube.com/watch?v=QRmdxOomF1k,Slot two,In the PQNK system We can Grow all the crops only we have to grow the seed and we have to harvest the crop and this also save our 80% water we have to give few times it depends on the crop that what thing is required to the crop so we also increase the numbers of insects those growth the crops.,Start 00:00 End 00:50 ,,,,,,,,,,,,
,No till precision planting of rapeseed following PQNK process.,https://youtu.be/G4KD24nHw60?si=DKosEyXAdRefbHZC,Slot two,No till precision planting of rapeseed fallowing PQNK process. After havrvesting the crops  and we do not plough the land  when we will grow the seed then first we have to finsh  the herbs. And the the herbs should not above from the crop because there are two things are required to the crop first is light of the sun and other is water. From these two things the crop groth. ,Start 00:00 End 03:00,,,,,,,,,,,,
,No-Till raised beds precision planter for PQNK applications,https://youtu.be/rsofJHbu0r8?si=Vq5ddIU6_xDtiMdN,Slot two,No till beds precision planter for PQNK application. This system save a lot of time  and this systmem can save our lot of money if the workers are doing work in 100 hours then if we fallow the this system then this work we can do in 25 hours and this system save 90% 80% water. So  no way to get profit from the agriculture system because now days the seeds and the fertilizers are expensive and the tractors expensive and the diesel is expensive and day by day the the diesel prices are increased. So if we fallow  this system then we can get a better food have a nutration and we can make profite from this system.,Start 00:00 End 01:30,,,,,,,,,,,,
,No till Raisedbed Precision Planter has irreducible complexity,https://youtu.be/AQkQFPmqUUE?si=3C5BiUDSUdUo2hqb,Slot two,"Slit Insertion (No-till) Rased Bed precision Plante Demonstrating Irreducible Complexity: Functions;Planting all kinds of seeds on raised beds with regulated row-to- row and seed-to-seed distances using vafious cover crops and crop residuces. Complexity: Managing seed variations, including size, shape, weght, inert metter, and dust, while ensuring unifrom seed placement in moist soil at a consistent depth. Irreducible complexity: Handing residue build-up, which includes challenging residues shuch as rice straw (flexible, not brittle), wheat straw piledin heaps by combine harvesters, maize stalks, sugarcane and its strips, and various types of cover crops. This involves shredding and evenly spreading all residues on the beds, creating slits for planting shoes to pass through, cleaning planting shoea, adjuxing depth, and maintaining consistency across all slil conditions and bed tilts. Achieving seed singulation of both larg and small seeds and dropping them at regular intervals without drifting. Utilizing press wheels to press seeds from both sides to improve seed-tp-oil contact. Managing tractor imperfections, operator errors, and neglest",Srart 00:00 End 03:00 ,,,,,,,,,,,,
,Sizing Tyre with beds for precision agriculture on PQNK,https://youtu.be/T7J7AuvTawU?si=RzMu23QCg5tSWCQn,Slot two,When we shift the land on the PQNK system then the big problem is that how use the tractors because the tyers damage the beds because they are wide and they increase the  drainage. So the tractors tyers should be 9 inch because if we do change our land in PQNK then we have to do two works wiht tractors we have grow the crop and  we have to harvest the crop,Start 00:00 End 03:10,,,,,,,,,,,,
,Importance of permanent raised beds in PQNK,https://youtu.be/Zlz8bOeKImM?si=q-W-AjB8Cd3hbFhH,Slot two,"Advantages of permanement Raised Beds: Control traffic, reduced compaction. No water funoff, more water obsorption for consistent growth. Concentrated water-nutrients solution for optimal uptake Bio fasters water- nutrients solution for optimal uptake. Biota fosters in raised beds, no drowing. Biota fosters in raised beds, no drowing. Biota converts sustainable form of mineral levels in soil. Organic mulch moderate soil temperature, saves biota from extreme temperature, stop avaporation lose through xapillaries, stop salinization on slil surface. No-till planting proects network of mycorrhizal fugi, lower tillage costs, improve water absorption, infiltration and retention. Drain water in case of heavy rains. Roots enlarge to outreach moisture-nutriens solution, anchor plantsto aviod lodging in stormy weather conditions. ",Start 00:00 End 06:00 End,,,,,,,,,,,,
,Raised beds making for PA/PQNK,https://youtu.be/EJ2b2dTXdLg?si=-jOeNpk7MvygzkT0,Slot two,"Massey Ferguson Bed Shape Planter: Functions; Froms raised beds and furrows in one pass. Used for; Wheate, maize, cotton, and other row crops. Compatibility; Attaches to 50-75 tractors (standard 3-point linkage). Local Availablity; Widely used and distributed across pakistan. Manufacturer/ Distributor: Massey ferguson Pakistan/ Millet Tractor/ local agri dealers.",Start 00:00 End 01:00,,,,,,,,,,,,
,Type of organic mulch in PQNK,https://youtu.be/Hk1QAIRQdfQ?si=iY06xObMqhLW5xlI,Slot two,In the PQNK system  we have to cover the land because for the land will remain cool.   So if the temperature of our body increase then we sick. Like this If the temperature of the land increase then for this the crops effected. So the temperature of the land is very important in the PQNK. So in the PQNK  system we have to cove the crop.Mulch types in PQNK: Plant material from outside the field. Plant residue of the previous crop. Living mulch. Crimping cover crop.,Start 00:00 End 06:35,,,,,,,,,,,,
,Citrus on PQNK and mulching solutions,https://youtu.be/ldi4KnWkcJg?si=EJhUfjN8XyoYmOIw,Slot two,If we fallow the PQNK system the fruit will good and this fruits also have nutriation. So if we give a lot of water to the plants  and give the fertilizers then we sparay for different inestects  for this there is lot of money spend myabe the fruiat will good they hunted different disease there is lot of inects those are growth the crops those are giving food to the plants  so we have to increase them when they increase then will give them more food when they give more good then the plants and crops will increase the food which is produced with out any fertilizers with out any ploughing these fruits have also more nutriation like if we eat three apples those are producing with sprays with fertilizers and if eat the apple which is produce without any fertilizers and with out any sprays so one apple is more nutriation then three apples.,Start 00:00 End 03:30,,,,,,,,,,,,
