Video  No,Video Title,Video Link,Video Slot,Transcription,Timestamps,Information,Quotations,Speaker Name,,Video Length,Priority,Topic,Video Start Link,Video End Link,Generic Info,Citation,Video Quality
,,,,"Planting and Care Instructions:
- Use disease-free rhizomes for planting.
- Plant in 4 rows on a 42-inch bed with 12-inch spacing.
- Depth of planting: 3-4 inches, bud facing upward.
- Apply thick organic mulch if janter isn't used for soil preparation.
- Maintain soil moisture (40% water, 60% air) and monitor for adequate rainfall.",16:42–18:23,,,,,,,,,,,,
,,,,"Harvesting and Post-Harvest Guidelines:
- Ginger is ready for harvest 8-10 months after planting.
- Look for yellowing of lower leaves as a maturity indicator.
- Dig carefully to avoid damaging rhizomes.
- Clean, wash, and air-dry rhizomes in the shade.
- Package in ventilated bags/crates to prevent mold.
- Yield: 100-200 pounds per acre depending on conditions",18:33–19:31,,,,,,,,,,,,
,,,,"Additional Considerations:
- Monitor for mineral deficiencies, pests, and diseases when converting to the PQNK method for the first time.
- Apply supplements sparingly to address deficiencies.",19:31–19:53,,,,,,,,,,,,
,,,,Ginger production is a testament to the success of the PQNK process alongside garlic and other crops.,19:55–20:01,,,,,,,,,,,,
3,Citrus 🍊 on PQNK,https://youtu.be/YPU7684ReTw?si=vDtjVFy7-4g1wOI6,Slot 2,skip,,Direct Info,Quote 4,TRUE,FALSE,16:55 min,High,,Start,End,General information.,,Outdoor Survey 
4,Climate change is another scam.,https://www.youtube.com/watch?v=WXkku8sBU8Q,Slot 2,"UN Secretary warns that humanity has worsened the climate crisis, likening it to ""opening the gates to Hell.""",0:02 - 0:07	,Indirect Info,Quote 4,TRUE,FALSE,1:58 min,Low,,Start,End,General information.,,Outdoor Survey 
,,,,"Climate change concerns are manipulated by interest groups for global population control.
",0:07 - 0:17	,,,,,,,,,,,,
,,,,"Industrial agriculture is a major contributor, intensified from ancient Homo sapiens' practices (10,000 years ago).
",0:17 - 0:38	,,,,,,,,,,,,
,,,,"- Makes up only 0.04% of the atmosphere.
- Humans contribute only 3% of this amount.
- CO₂ is essential for plant growth, and higher levels existed in the past.",0:38 - 0:55	,,,,,,,,,,,,
,,,,"	- Emitted by dairy animals fed low-quality fodder from industrial agriculture.
- Methanotroph bacteria help regulate atmospheric methane levels",0:55 - 1:12	,,,,,,,,,,,,
,,,,"- Emitted from agriculture, industrial processes, and combustion.
- Agriculture contributes ~70% of global human-caused N₂O emissions.",1:12 - 1:31	,,,,,,,,,,,,
,,,,"- Retention of 3 watts per square meter of energy by bare soil, caused by industrial agriculture.
",1:31 - 1:38        ,,,,,,,,,,,,
,,,,"- Excessive atmospheric water due to poor agricultural practices (e.g., overmining underground water, reduced soil infiltration).
",1:38 - 1:56	,,,,,,,,,,,,
5,Furrow Irrigation in sandy soil on PQNK,https://www.youtube.com/watch?v=LrZwUR4nxGw,Slot 2,"This video discusses effective water management techniques for agriculture, emphasizing slow water absorption and proper leveling of drainage channels. The speaker shares a personal experience of overcoming past failures by applying these principles successfully.",4:09 min,Direct Info,Quote 4,TRUE,FALSE,,Low,Irrigation in sandy soil ,Start,End,General information.,,Outdoor Survey 
6,Sugarcane on PQNK high yield low production cost,https://www.youtube.com/watch?v=Ph17mHBNdeg,Slot 2,skip (irrelevant),,Direct Info,Quote 4,TRUE,FALSE,,Low,,Start,End,General information.,,Outdoor Survey 
7,Rethinking Fallowing Land - Challenging Conventional Thinking,https://www.youtube.com/watch?v=d2QNTWVE_6w,Slot 2,rethinking following land challenging,0:01,Direct Info,Quote 4,TRUE,FALSE,,Low,,Start,End,General information.,,Outdoor Survey 
,,,,	conventional thinking,0:04,,,,,,,,,,,,
,,,,	the traditional belief that following,0:06,,,,,,,,,,,,
,,,,	land is necessary to restore soil,0:08,,,,,,,,,,,,
,,,,fertility control weeds and pests has,0:10,,,,,,,,,,,,
,,,,been ingrained in agricultural practices,0:12,,,,,,,,,,,,
,,,,however it's important to recognize the,0:15,,,,,,,,,,,,
,,,,adverse effects of fallowing which can,0:18,,,,,,,,,,,,
,,,,result in significant damage to the soil,0:20,,,,,,,,,,,,
,,,,and its ecosystem,0:22,,,,,,,,,,,,
,,,,the harmful effects of following land,0:24,,,,,,,,,,,,
,,,,when soil is plowed and left bare,0:25,,,,,,,,,,,,
,,,,several adverse effects occur,0:28,,,,,,,,,,,,
,,,,demolished habitat for soil organisms,0:30,,,,,,,,,,,,
,,,,plowing disrupts and destroys the,0:33,,,,,,,,,,,,
,,,,habitat of essential soil organisms,0:35,,,,,,,,,,,,
,,,,leading to a decline in biodiversity and ecological balance,0:39,,,,,,,,,,,,
,,,,loss of root systems the uprooting of plants during plowing removes the root,0:43,,,,,,,,,,,,
,,,,systems that provide essential passages,0:45,,,,,,,,,,,,
,,,,for the infiltration of air and water,0:47,,,,,,,,,,,,
,,,,into the soil,0:49,,,,,,,,,,,,
,,,,	soil collapse and reduced water,0:50,,,,,,,,,,,,
,,,,absorption the absence of plant roots,0:52,,,,,,,,,,,,
,,,,	causes the soil to collapse reducing its,0:55,,,,,,,,,,,,
,,,,capacity for water absorption and,0:57,,,,,,,,,,,,
,,,,aeration this impairs the soil's ability,0:59,,,,,,,,,,,,
,,,,to retain moisture and nutrients,1:02,,,,,,,,,,,,
,,,,necessary for plant growth creation of heart pan frequent plowing can create a hard pan a compacted layer of soil that restricts root growth andhinders water life forms Thrive which can besoil pores created by plowing anaerobicdevelopment of anaerobic life in airless infiltration  detrimental to the aerobic life required by plants to flourish ,1:24,,,,,,,,,,,,
,,,,increased water evaporation bare soil,1:26,,,,,,,,,,,,
,,,,exposed to the elements experiences,1:29,,,,,,,,,,,,
,,,,higher rates of water evaporation,1:31,,,,,,,,,,,,
,,,,leading to the loss of moisture crucial,1:32,,,,,,,,,,,,
,,,,for sustaining aerobic life,1:35,,,,,,,,,,,,
,,,,soil temperature rise in the absence of vegetation cover soil temperatures can soar to extreme levels reaching over 70 degrees Celsius in the summer which is detrimental to the survival of plants and soil organisms,1:37,,,,,,,,,,,,
,,,,burning of organic matter without protective vegetation cover organic matter in the soil is susceptible to burning off under high temperatures resulting in the loss of vital nutrients and soil structure,1:51,,,,,,,,,,,,
,,,,loss of weed cover weeds play a crucial role in covering the soil maintaining moisture and regulating temperature falling can cause the death of these beneficial plants further exacerbating the negative impact on soil health,2:02,,,,,,,,,,,,
,,,,rethinking following land challenging conventional thinking,2:22,,,,,,,,,,,,
,,,,lifeless soil collectively these factors contribute to the degradation of the soil rendering it lifeless and unsuitable for sustainable agricultural practices,2:26,,,,,,,,,,,,
,,,,by acknowledging the adverse effects of following land we can recognize the urgent need to rethink and adopt sustainable Alternatives that promote soil Health biodiversity and long-term productivity,2:36,,,,,,,,,,,,
,,,,in light of the adverse effects of following land it becomes evident that a paradigm shift is necessary in our approach to agriculture by embracing the principles of pqnk Peter tratty Nissan kashada kiari a sustainable natural farming system we can revolutionize the way we cultivate Our Land,2:50,,,,,,,,,,,,
,,,,pqnk emphasizes the importance of nurturing soil Health preserving biodiversity and implementing practices that promote long-term sustainability by avoiding the harmful practices of plowing and leaving soil bare we can protect the habitat of essential soil organisms maintain the Integrity of root systems and prevent soil collapse,3:08,,,,,,,,,,,,
,,,,	furthermore pqnk encourages the preservation of continuous vegetation cover which regulates soil temperature prevents water loss through evaporation and protects organic matter from burning by doing so we can create a favorable environment for beneficial bacteria ensure aeration and water absorption capacity and avoid the development of anaerobic life harmful to plant growth,3:29,,,,,,,,,,,,
,,,,additionally pqnk recognizes the significance of weeds As Natural soil cover essential for moisture retention and temperature regulation by maintaining proper soil structure and reducing water evaporation we can mitigate the growth of weeds and address the underlying issues of soil collapse and bare soil,3:52,,,,,,,,,,,,
,,,,in conclusion by adopting the principles of PQ and K we can unlock the potential of sustainable natural farming this approach enables us to enhance soil fertility protect the environment and ensure long-term food production it's time to embrace this transformative system and cultivate a future where Agriculture and nature coexists harmoniously for the benefit of present and future Generations,4:11,,,,,,,,,,,,
8,Is crop rotation necessary on PQNK?,https://youtu.be/FqCUvoiHaTg?si=iPA7WF8pFNBsm-nN,Slot 2,is crop rotation necessary,0:01 - 0:05,Direct Info,Quote 4,TRUE,FALSE,,Medium,,Start,End,General information.,,Lectures 
,,,,in the past crop rotation was widely regarded as an indispensable component of sustainable agriculture,0:05 - 0:11,,,,,,,,,,,,
,,,,however Recent research challenges the notion that crop rotation is universally necessary for ensuring sustainability in farming systems,0:11 - 0:18,,,,,,,,,,,,
,,,,one alternative approach gaining traction is pqnk permaculture or circular production a system rooted in natural ecosystems designed to facilitate year-round crop growth,0:18 - 0:31,,,,,,,,,,,,
,,,,pqnk recognizes that crop types can remain consistent or vary based on seasonal considerations,0:31 - 0:35,,,,,,,,,,,,
,,,,the core principle behind pqnk is the establishment of a self-sustaining ecosystem that Fosters harmonious interactions between plants and animals resulting in a well-balanced and highly productive system,0:35 - 0:49,,,,,,,,,,,,
,,,,furthermore the volume of sustainable minerals in the soil never depletes meaning that with the right farming practices we can continue to grow crops on the same land Forever Without degrading the soil,0:49 - 1:00,,,,,,,,,,,,
,,,,this is because natural ecosystems have developed a balance between the plants animals and microbes that inhabit them,1:00 - 1:07,,,,,,,,,,,,
,,,,Recent research has shown that there is an abundance of all kinds of materials that plants require for vigorous growth in the soil,1:07 - 1:13,,,,,,,,,,,,
,,,,however these minerals are not always in a form that is readily available to plants,1:13 - 1:17,,,,,,,,,,,,
,,,,microbes in the soil play a crucial role in making these minerals available to plants in a proportionally balanced form,1:17 - 1:26,,,,,,,,,,,,
,,,,this new understanding of the soil has the potential to revolutionize agriculture as we know it,1:26 - 1:31,,,,,,,,,,,,
,,,,moreover agriculture which started 10 000 years ago has relied on tillage-based systems that kill soil microorganisms with plowing inundation and keeping soil naked without organic mulch,1:31 - 1:45,,,,,,,,,,,,
,,,,this practice not only kills life in the soil but also Burns organic matter as soil temperature in a naked soil can rise to 70 degrees Celsius in summer,1:45 - 1:54,,,,,,,,,,,,
,,,,it is important for us to incorporate this new understanding of the soil into our farming practices,1:54 - 1:58,,,,,,,,,,,,
,,,,we must move away from tillage-based systems and embrace regenerative farming techniques such as pqnk,1:58 - 2:05,,,,,,,,,,,,
,,,,industrial agriculture is an augmented form of Agriculture started by Homo sapiens some 10 000 years ago,2:05 - 2:12,,,,,,,,,,,,
,,,,in the context of pests and diseases it is now understood that they are part of the recycling system in the natural world,2:12 - 2:18,,,,,,,,,,,,
,,,,when crops are healthy pests and diseases are naturally suppressed,2:18 - 2:23,,,,,,,,,,,,
,,,,however in the event of an infestation the natural mechanisms of protection such as the presence of BT bacteria and Predators play an effective role in controlling them,2:23 - 2:34,,,,,,,,,,,,
,,,,this understanding challenges the argument that crop rotation is necessary for the management of pests and diseases,2:34 - 2:40,,,,,,,,,,,,
,,,,similarly weeds which have traditionally been managed through crop rotation are now seen as a potential solution rather than a problem,2:40 - 2:47,,,,,,,,,,,,
,,,,weeds often thrive in areas where the soil is compacted water absorption is reduced or where the soil is left bare,2:47 - 2:54,,,,,,,,,,,,
,,,,however they play a beneficial role in the ecosystem by increasing the porosity of the soil reducing water evaporation and moderating soil temperatures,2:54 - 3:05,,,,,,,,,,,,
,,,,when the soil is well covered with Organic mulch the emergence of weeds is less likely,3:05 - 3:09,,,,,,,,,,,,
,,,,in cases where weeds do appear they can be considered as live mulch since they do not compete with cash crop plants for abundant minerals in the soil,3:09 - 3:19,,,,,,,,,,,,
,,,,however they may compete for sunlight and therefore it is important to manage weeds in a way that prevents them from shading the cash crop plants,3:19 - 3:27,,,,,,,,,,,,
,,,,this can be achieved through appropriate weed management techniques,3:27 - 3:30,,,,,,,,,,,,
,,,,by supporting the growth of beneficial microbes in the soil managing pests and diseases through natural mechanisms and adopting practices that promote soil health and organic mulching we can create a more sustainable,3:30 - 3:43,,,,,,,,,,,,
,,,,by working with nature rather than against it we can create a world in which agriculture is not only sustainable but also regenerative supporting the health of the planet for generations to come,3:43 - 3:51,,,,,,,,,,,,
9,Space utilisation - Bed & Ridge system,https://www.youtube.com/watch?v=iYwBRpToFho,Slot 2,tqnk revolutionizing sustainable farming for a better future,0:02 - 0:06,Direct Info,Quote 4,TRUE,FALSE,1:48 min,Medium,,Start,End,General information.,,Lectures 
,,,,tqnk an abbreviation of the Urdu phrase Peter tratty Nissan kashada kiari represents a groundbreaking approach to sustainable natural farming systems,0:06 - 0:17,,,,,,,,,,,,
,,,,embracing the ecosystem in this era of modernization it is crucial to study the ecosystem of natural vegetation that has sustained for over 400 million years without depleting any resources,0:17 - 0:29,,,,,,,,,,,,
,,,,these natural systems have provided sustenance to every living being showcasing the remarkable resilience of life forms,0:29 - 0:36,,,,,,,,,,,,
,,,,rethinking traditional approaches unfortunately we have mistakenly continued and even worse augmented the tillage-based crop production system introduced by Homo sapiens approximately 10 000 years ago,0:36 - 0:50,,,,,,,,,,,,
,,,,this approach lacked in understanding and regard for natural algorithms governing soil fertility and vegetation,0:50 - 0:55,,,,,,,,,,,,
,,,,the detrimental effects of tillage-based systems the augmentation of tillage-based production systems is contrary to Nature,0:55 - 1:01,,,,,,,,,,,,
,,,,as a result soil degradation depletion of water resources and devastating climate changes have become prevalent,1:01 - 1:09,,,,,,,,,,,,
,,,,Additionally the cost of production has increased significantly while the nutritional density of the food produced has diminished,1:09 - 1:18,,,,,,,,,,,,
,,,,tqnk a sustainable solution pqnk represents a transformative solution for a sustainable future,1:18 - 1:24,,,,,,,,,,,,
,,,,it combines the wisdom of natural systems with Innovative farming practices to restore soil fertility conserve water resources mitigate unpredictable weather and enhance the nutritional quality of food production needed for our health,1:24 - 1:39,,,,,,,,,,,,
,,,,gut Flora cure for diabetes obesity and what more,1:39 - 1:43,,,,,,,,,,,,
,,,,by implementing pqnk we can revolutionize the way we Farm ensuring a harmonious coexistence with nature while meeting the needs of a growing population,1:43 - 1:53,,,,,,,,,,,,
,,,,pqnk is the key to a sustainable future,1:53 - 1:57,,,,,,,,,,,,
10,The State of Our Mind and Learning Capacity,https://youtu.be/nUa0dG78qqA?si=HFa6dgaC-otman8J,Slot 2,the state of our mind and learning capacity,0:01 - 0:05,Direct Info,Quote 4,TRUE,FALSE,2:46 min,Medium,,Start,End,General information.,,Lectures 
,,,,a recent video shared by a farmer showed the devastating impact of a hurricane on his Citrus Orchard,0:05 - 0:12,,,,,,,,,,,,
,,,,the video went viral on Facebook with over 31 000 shares 68 000 comments and 2.2 million views,0:12 - 0:18,,,,,,,,,,,,
,,,,however the comments were mostly expressions of sympathy with no one asking for information on how to prevent such damage in the future,0:18 - 0:26,,,,,,,,,,,,
,,,,this lack of interest in prevention is a symptom of a larger problem our limited capacity for deep learning,0:26 - 0:31,,,,,,,,,,,,
,,,,our education system has confined us within the boundaries of traditional Concepts and the prevalence of multimedia has shortened our attention spans,0:31 - 0:42,,,,,,,,,,,,
,,,,as a result we have become more focused on enjoying events rather than seeking knowledge for a sustainable future,0:42 - 0:48,,,,,,,,,,,,
,,,,shallow roots and heart pan,0:48 - 0:50,,,,,,,,,,,,
,,,,the video showed that the main reason for the uprooting was the presence of shallow roots that couldn't anchor the plants securely,0:50 - 0:55,,,,,,,,,,,,
,,,,these shallow roots were caused by heart pan a compacted layer of soil form due to Mechanical operations,0:55 - 1:02,,,,,,,,,,,,
,,,,heart pan is extremely firm preventing roots from extending deeper into the ground,1:02 - 1:08,,,,,,,,,,,,
,,,,implications of heart pan,1:08 - 1:10,,,,,,,,,,,,
,,,,heart pan restricts water infiltration leading to excessive water in the atmosphere and depletion of aquifers,1:10 - 1:16,,,,,,,,,,,,
,,,,this contributes to the vulnerability of crops and increases the risk of damage during calamities like hurricanes,1:16 - 1:24,,,,,,,,,,,,
,,,,limitations of education and multimedia,1:24 - 1:27,,,,,,,,,,,,
,,,,our education system has taught us to think within the boundaries of traditional Concepts,1:27 - 1:33,,,,,,,,,,,,
,,,,we have been taught to memorize facts and formulas but not how to think critically or solve problems creatively,1:33 - 1:40,,,,,,,,,,,,
,,,,this has limited our ability to see the world in new ways and to develop solutions that are sustainable for the future,1:40 - 1:45,,,,,,,,,,,,
,,,,the prevalence of multimedia has also contributed to our limited capacity for deep learning,1:45 - 1:50,,,,,,,,,,,,
,,,,multimedia is designed to capture our attention and keep us entertained but it does not require us to engage in deep thinking,1:50 - 1:56,,,,,,,,,,,,
,,,,as a result our attention spans have become shorter and our ability to focus has decreased,1:56 - 2:03,,,,,,,,,,,,
,,,,conclusion,2:03 - 2:05,,,,,,,,,,,,
,,,,the state of our mind and learning capacity is a serious problem,2:05 - 2:10,,,,,,,,,,,,
,,,,we need to find ways to break out of the boundaries of traditional thinking and to develop our capacity for deep learning,2:10 - 2:16,,,,,,,,,,,,
,,,,if we do not we will be unable to solve the challenges that we face as a society and as a planet,2:16 - 2:21,,,,,,,,,,,,
,,,,call to action,2:21 - 2:23,,,,,,,,,,,,
,,,,I urge you to join me in the fight to improve the state of our mind and learning capacity,2:23 - 2:27,,,,,,,,,,,,
,,,,we need to demand that our education system teach us how to think critically and solve problems creatively,2:27 - 2:33,,,,,,,,,,,,
,,,,we also need to be mindful of the impact of multimedia on her attention spans and make a conscious effort to engage in deep learning,2:33 - 2:39,,,,,,,,,,,,
11,"Protect Crops, Prevent Flood Damage: Break Hardpan Now!",https://www.youtube.com/watch?v=36rN07ZTxgk,Slot 2,space utilization bed and ridge system,0:02 - 0:05,Direct Info,Quote 4,TRUE,FALSE,2:46 min,Medium,,Start,End,General information.,,Lectures /Outdoor Survey 
,,,,wide tires are designed to carry heavy loads such as land leveling deep plowing and transportation,0:05 - 0:12,,,,,,,,,,,,
,,,,they are not ideal for row crop planting because they create wide furrows that waste space,0:12 - 0:17,,,,,,,,,,,,
,,,,slim tires are designed for row crop planting they create narrow furrows that save space and allow for wider beds,0:17 - 0:25,,,,,,,,,,,,
,,,,they also help to prevent compaction of the bedsides which can improve water infiltration and reduce erosion,0:25 - 0:31,,,,,,,,,,,,
,,,,once a farm is properly designed and shifted to the pqnk system Farmers should put slim tires on both the back and front wheels of their tractors,0:31 - 0:40,,,,,,,,,,,,
,,,,this will maximize space utilization and help to protect the bedsides from compaction,0:40 - 0:45,,,,,,,,,,,,
,,,,in conventional flatland farming the available area for cropping is 12 to 18 percent greater than in pqnk farming systems,0:45 - 0:52,,,,,,,,,,,,
,,,,however the number of tillers per plant is much lower in conventional systems due to a number of factors,0:52 - 1:00,,,,,,,,,,,,
,,,,for example in wheat the average number of tillers per plant is only five in conventional systems compared to up to 50 in pqnk systems,1:00 - 1:06,,,,,,,,,,,,
,,,,similarly in rice the average number of tillers per plant is 15 in conventional systems compared to over 50 in pqnk systems,1:06 - 1:17,,,,,,,,,,,,
,,,,sketches are provided to understand optimal space utilization,1:17 - 1:22,,,,,,,,,,,,
,,,,slim tires reduce the area used in furrows which saves the bedsides from compaction and improves infiltration of water in beds,1:22 - 1:32,,,,,,,,,,,,
,,,,tqnk the natural ecosystem science,1:32 - 1:35,,,,,,,,,,,,
12,PQNK: Revolutionizing Sustainable Farming for a Better Future,https://youtu.be/snN9on3O8CY?si=somUJi5FKCgP16vv,Slot 2,pqnk revolutionizing sustainable farming for a better future,0:02 - 0:06,Direct Info,Quote 4,TRUE,FALSE,2:46 min,Medium,,Start,End,General information.,,Lectures 
,,,,tqnk an abbreviation of the Urdu phrase Peter tratty Nissan kashada kiari represents a groundbreaking approach to sustainable natural farming systems,0:06 - 0:17,,,,,,,,,,,,
,,,,embracing the ecosystem in this era of modernization it is crucial to study the ecosystem of natural vegetation that has sustained for over 400 million years without depleting any resources,0:17 - 0:29,,,,,,,,,,,,
